Judul,Keterangan
ALMS - Team JOTA Berniat Bangkit dengan Sean Gelael dan Tom Blomqvist,NonClickbait
"Mendadak Nama Galang Rambu Anarki Trending Twitter, Kenapa?",Clickbait
"Fitur ""Foto Soal"", Bantu Siswa Pecahkan Soal Matematika",NonClickbait
Unsoed Purwokerto Siap Terima 1.218 Calon Mahasiswa Jalur SNMPTN 2021,NonClickbait
Adik Ririe Fairus Bongkar Dugaan Perselingkuhan Ayus Sabyan Selama 2 Tahun,NonClickbait
Wakil Ketua KPK Sebut Mantan Mensos Juliari Batubara Bisa Dijatuhi Hukuman Mati,NonClickbait
5 Langkah Membantu Anak Temukan Hobi yang Disukai,Clickbait
Anak Perempuan Korban Pernikahan Dini,NonClickbait
"Ditegur Kemendagri soal SKB 3 Menteri, Wali Kota Pariaman: Saya Sudah Sering Disapa",NonClickbait
"Sinopsis Night in Paradise, Misi Balas Dendam Seorang Kakak, Segera di Netflix",NonClickbait
Australia Open 2021 - Osaka Akhiri Peluang Rekor Grand Slam Serena,NonClickbait
Google Meet Siapkan Fitur-fitur Baru untuk Mendukung Kegiatan Belajar,NonClickbait
"Fakta-fakta KKB Masuk Kota di Intan Jaya, Ribuan Warga Mengungsi hingga Ratusan Brimob Dikirim ke Papua",NonClickbait
"Taklukkan Sang Legenda, Osaka Ke Final",NonClickbait
Andi Arief Sebut PDIP Dendam pada SBY Karena Menantu Sarwo Edhie,Clickbait
"Menang Gugatan, Tommy Soeharto Rebut Kembali Berkarya dari Muchdi PR",NonClickbait
"Isu Hantu Komunis Bangkit, Aparat Filipina Turun ke Kampus-Kampus",NonClickbait
Kronologi Gadis di NTT Jadi Tersangka usai Bunuh Pria yang Coba Memerkosanya,NonClickbait
6 Tanda yang Bakal Ditunjukkan Tubuh ketika Tubuhmu Terlalu Banyak Kafein,Clickbait
Wow! Tiram Raksasa Ini Ukurannya Jumbo tapi Harganya Murah,Clickbait
"Setelah Dikudeta, Pangeran Cendana Kembali Genggam Partai Berkarya",NonClickbait
"Potret Ambar Klaudiya, Prajurit TNI Cantik dan Memesona Anggota Paspampres",Clickbait
"Malware Android Baru Mampu Tersebar Lewat Chat WhatsApp, Hati-Hati!",Clickbait
"Potret Amanda Manopo Pakai Hijab Jadi Sorotan, Cantiknya Bikin Hati Adem",Clickbait
Pesona Istri Kim Jong-un Setelah Setahun Menghilang,NonClickbait
Donald Trump Bicara soal Pencalonan Diri di Pilpres AS 2024: Saya Lihat Hasil Jajak Pendapat Bagus,NonClickbait
Pangeran Philip yang Berusia 99 Tahun Dilarikan ke Rumah Sakit sebagai Tindakan Jaga-jaga,NonClickbait
"Viral Video Cowok Pakai Mobil Pick Up saat Jemput Pacar Pulang Kerja, Ternyata Ini Kisah di Baliknya",Clickbait
"Mengenal Bendungan Tapin di Kalsel yang Diresmikan Jokowi Hari ini, Habiskan Anggaran Rp 986 Miliar",NonClickbait
"Dealer Mobil di Tuban Ungkap Fakta, Target Penjualan Terlampaui, Masih Ada Warga Inden Fortuner",NonClickbait
Generasi Z Myanmar Memainkan Peran Penting dalam Protes Melawan Militer,NonClickbait
Bendungan Tapin di Kalsel yang Diresmikan Jokowi Habiskan Anggaran Hampir Rp 1 Triliun,NonClickbait
Studi Tour Pelajar SD Jepang ke Luar Negeri Lewat Online,NonClickbait
"Remaja Putri Jadi Tersangka Pembunuh Pria yang Hendak Memperkosanya, Begini Penjelasan Polisi",Clickbait
Ma'ruf Dukung Vaksinasi Covid-19 saat Bulan Ramadan,NonClickbait
Tidak Boleh Bicara dan Tidak Punya Hak Suara Wanita Jepang Berbeda,NonClickbait
"Vaksinasi Pertama di Jepang 125 Orang, Menyusul di 100 Rumah Sakit Bagi 40.000 Tenaga Medis",NonClickbait
"Usut Kasus Korupsi di BPJS Ketengakerjaan, KSPI : Kami Jalan Bersama Kejagung",NonClickbait
Kenakan Jaket Merah Jokowi Tinjau dan Resmikan Bendungan Tapin yang Habiskan Rp 986 Miliar,Clickbait
Pelajar SMKN Putussibau Meninggal Dunia Tenggelam di Sungai Sibau,NonClickbait
"Astaga! Bukan Cuma Pesugihan, Ini Motif Satu Keluarga di Gowa yang Tega Cungkil Mata Anaknya",Clickbait
"Breaking News: Hashimoto Menjadi Ketua Olimpiade Jepang, Mengundurkan Diri Sebagai Menteri",NonClickbait
Wow! Barista Starbucks Ini Dapat Pesanan Minuman Rp 746 Juta,Clickbait
Bea Cukai Beberkan Berbagai Peraturan dan Inovasi Pabean,NonClickbait
Kemnaker: Kawasan Industri Batam Bakal Dibangun Balai Latihan Kerja,NonClickbait
"Imlek Nasional 2021: Peduli pada Diri Sendiri, Masyarakat dan Bangsa",NonClickbait
KPK Sita Dokumen Kasus Korupsi Pembangunan Stadion Mandala Krida,NonClickbait
Mengapa Hashimoto Kemungkinan Besar Terpilih Sebagai Ketua Umum Olimpiade Jepang?,Clickbait
Junta Militer Myanmar Perintahkan Tangkap Enam Selebriti yang Hasut Mogok Kerja,NonClickbait
"Lompat dari Flyover Kalibata Sejak Selasa Malam, Jodi Belum Ditemukan",NonClickbait
"PNS Nodai Anaknya yang Masih TK, Aksi Bejat Terbongkar, Ditemukan Cairan Putih di Kemaluan Korban",NonClickbait
Dewas dan Pimpinan KPK Divaksin Covid-19 Hari Ini,NonClickbait
"Komisaris PT Waskita Karya sekaligus Ketua Umum Bara JP, Viktor Sirait Meninggal, Ini Profilnya",Clickbait
Apa Itu Perjuangan Fisik dan Perjuangan Diplomasi? Berikut Contohnya,Clickbait
Korut dituduh berupaya curi data vaksin Covid-19 dengan meretas Pfizer,NonClickbait
"Mallorca, Potret Lokasi Wisata Populer yang Terperangkap Pandemi Corona",Clickbait
"Tanggapi Pernyataan Marzuki Alie Soal SBY-Mega, Andi Arief: Itu Statement Hantu",NonClickbait
Wow! Elon Musk Setahun Bayar Pajak Rp 119 Triliun,Clickbait
"Duh, Mobil Warga Tasikmalaya Tersesat di Tengah Hutan Majalengka",Clickbait
"Astaga! Mobil Wakilnya Anies Disebut Jeblos ke Dalam Sumur Resapan, Ternyata...",Clickbait
Guardiola Tak Terkesan dengan Penalti Rodri,NonClickbait
"JK Tanya Cara Kritik Tanpa Dipolisikan, KSP: Seperti Ingin Memanas-manasi",NonClickbait
Trump soal Lolos Pemakzulan: Make America Great Again Baru Saja Dimulai,NonClickbait
"Tottenham Dihajar Man City, Mourinho Bikin Istilah Penalti Modern",NonClickbait
Survei: Operator Seluler Terbaik Indonesia Adalah...,Clickbait
"Bawa Napoli Kalahkan Juventus, Gattuso Bungkam Kritik",NonClickbait
Guendogan Terus Pamer Ketajaman,NonClickbait
Kenapa Cuma Mobil-mobil Ini yang Dapat Diskon Pajak?,Clickbait
"Gempa M 7,3 , Jepang Kembali Berduka",NonClickbait
Ingat! Gratis Pajak Mobil Baru Cuma Berlaku 3 Bulan Pertama,Clickbait
Siapa Saja yang Perlu Cek D-dimer? Ini Kata Dokter Jantung,Clickbait
"Luruskan Wacana Motor Masuk Tol, Bamsoet: Bukan untuk Moge",NonClickbait
"Jepang Gempa, Pembangkit Nuklir Fukushima Diperiksa",NonClickbait
Ramalan Zodiak 14 Februari 2021: Aries Ada Kabar Gembira di Hari Valentine,NonClickbait
PPnBM 0 Persen Buat Mobil Baru Apa Saja? Cek Jenisnya di Sini,Clickbait
7 Pantangan Makan Jika Ingin Awet Muda,Clickbait
"Wow, Inggris Bakal Punya Kolam Renang Terdalam di Dunia",Clickbait
"Kampung Tematik Mulyaharja Bogor, Wisata Edukasi yang Instagramable",NonClickbait
"Ragam Fitur Terios, Ada Fitur Unik buat Pengemudi yang Pelupa",NonClickbait
Saat Anies Klaim Kemacetan dan Polusi di Jakarta Berkurang. . .,Clickbait
"Cegah Pencucian Uang di Pinjol, OJK Terbitkan Aturan Ini",Clickbait
"Korban Ketiga Longsor di Kebumen Ditemukan, Operasi SAR Ditutup",NonClickbait
"Astaga! Motor Tersambar Kereta Api di Lumajang, Ibu dan Anak Nyaris Jadi Korban",Clickbait
Ingin Pencahayaan Romantis di Kamar Tidur? Intip Tipsnya,Clickbait
"Setelah Dayana, Fiki Naki Berkenalan dengan Perempuan Thailand, Ini Sosoknya",Clickbait
"Resep Minuman Coklat Panas Blackforest, Bikin untuk Pasangan Saat Hujan",NonClickbait
"Kampus Mengajar: Insentif Rp 700.000 Per Bulan, Potongan UKT hingga Rp 2,4 Juta",NonClickbait
Kisah Tragis di Balik Hari Valentine yang Penuh Cinta,NonClickbait
"Barcelona Vs Alaves - Messi Menggila, Wonderkid Barca Ukir Rekor",NonClickbait
"Di Monumen Pers Nasional, Tersimpan Jejak Dunia Pewartaan Indonesia",NonClickbait
Kronologi Avanza Berpenumpang 7 Orang Tersesat di Hutan Gunung Putri Saat Tengah Malam,NonClickbait
Ujian Akhir Madrasah MTs dan MA Resmi Ditiadakan,NonClickbait
Berkah Menghadapi Para Legenda,NonClickbait
"Antusias Penggemar Tinggi, Para Pemain Ikatan Cinta Dijaga Ketat Sekuriti",NonClickbait
Awas! Beredar Pesan WhatsApp Oknum Catut Nama Bupati Purwakarta Janjikan Bantuan,Clickbait
"Sukanto Tanoto Borong Properti Mewah di Jerman, Ini Penjelasan RGE",Clickbait
"Hajar Alaves 5-1, Barcelona Makin Percaya Diri Jelang Lawan PSG",NonClickbait
Jaksa Beberkan 5 Perkara di KPK Bertabur Suap untuk AKP Robin,Clickbait
18 Kantong Penuh Potongan Jenazah Ditemukan di Meksiko,NonClickbait
Perasaan BCl Kali Pertama Rayakan Ulang Tahun Tanpa Ashraf SinClair,NonClickbait
"Penuhi Kebutuhan Industri, Kalbis Institute Perkuat Jurusan Psikologi Bisnis",NonClickbait
Proyek LRT Jabodebek Terus Dikerjakan,NonClickbait
Pemerintah Beri Santunan Jika Penerima Vaksin Covid-19 Alami Cacat Atau Meninggal,NonClickbait
"Indo Barometer: Kalau Jokowi Mau Gibran Capres 2024, Pilkadanya 2022",NonClickbait
"Usai Keluar dari 10 Kota Termacet, Kini DKI Jakarta Targetkan Bebas Banjir",NonClickbait
"Hal yang Perlu Anda Tahu Soal Bebas Pajak Mobil Baru, Termasuk Tahapan Waktu Berlaku",NonClickbait
KKB Kembali Serang TNI-Polri saat Cek Lokasi Penganiayaan di Puncak Papua,NonClickbait
Jenderal dari Papua Minta TNI Tak Takut Mati: Saya Sudah Kesana Kesini Tak Mati-Mati,NonClickbait
Pembebasan Pajak Pembelian Mobil Baru Berpotensi Buat Utang RI Membengkak,NonClickbait
Ini Penjelasan Ilmiah Suara Asli dan Rekaman yang Terasa Berbeda,Clickbait
Sejumlah Masalah yang Muncul dari Kebiasaan Menggigit Kuku dan Cara Mengatasinya,NonClickbait
"Potret Makam Ustaz Maaher, Nisan Bertuliskan Arab, Ada di Dekat Makam Syekh Ali Jaber",Clickbait
"Kronologi Penjual Bakso Tewas Tertimpa Truk di Sumedang, Petugas Butuh Waktu 5 Jam Evakuasi Korban",NonClickbait
2 Terdakwa yang Membantu Pelarian Carlos Ghosn akan Dipindahkan ke Jepang,NonClickbait
Mahasiswa Mitra Kamtibmas Bakal Laporkan Novel Baswedan ke Dewas KPK Senin Besok,NonClickbait
"Buronan Interpol Asal Rusia Andrew Ayer Kabur, DPR Pertanyakan Proses Keamanan Imigrasi Ngurah Rai",NonClickbait
"Masih Jadi Misteri, Polisi Belum Bisa Pastikan Penyebab Tewasnya Wanita yang Terkubur di PJB Malang",NonClickbait
"Hendi Ucapkan Terima Kasih, Imlek Dirayakan Dengan Sederhana di Kota Semarang",NonClickbait
Astaga! Ini Biang Kerok Harga Minyak Goreng Masih Mahal,Clickbait
"Ngaku Bisa Gandakan Uang dengan Tumbal Seekor Sapi, Pria Ini Tipu Korbannya Puluhan Juta Rupiah",Clickbait
"Tentara Myanmar Perketat Peraturan pada Tamu yang Menginap, Polisi Buru Pengunjuk Rasa",NonClickbait
"Gelar Doktor HC Nurdin Halid Dikritik, Si Pengkritik Dikeluarkan Dari Grup Majelis Profesor Unnes",NonClickbait
"Din Syamsuddin Dituduh Radikal, Sekum PP Muhammadiyah : Jelas Tidak Berdasar dan Salah Alamat",NonClickbait
"Perubahan Energi Alat Elektronik yang Ada di Rumah, Kipas Angin hingga Setrika",NonClickbait
"Sepeda Motornya Tertahan di Rel, Tiga Orang Satu Keluarga Tewas Tersabar Kereta",NonClickbait
"Din Syamsuddin Dilaporkan ke KASN, Sukamta: Tuduhan Radikal Asal Banget, Sangat Mungkin Ada Pesanan",NonClickbait
"Info Cuaca BMKG: Waspada 25 Daerah Berpotensi Hujan Lebat dan Angin Kencang, Minggu 14 Februari 2021",NonClickbait
"LIVE Misa Minggu 14 Februari 2021, Link Gereja Katedral Palembang sampai Surabaya",NonClickbait
Cerita Mobil yang Dikemudikan Enjang Tersesat ke Hutan Gunung Putri,NonClickbait
"Astaga! Bikin Iri, Pria Ini Digaji Rp 8 Triliun Sebulan",Clickbait
"Siti Jainah Masih Syok, Sudah 4 Bulan Menjanda Tiba-tiba Melahirkan Bayi Tanpa Merasa Hamil",NonClickbait
"Peringatan Dini Cuaca BMKG Hari Ini, Minggu 14 Februari 2021: Waspada Cuaca Ekstrem di 30 Wilayah",NonClickbait
"Pimpinan DPR: Insentif Para Tenaga Medis Jangan Dipersulit, Mereka Mempertaruhkan Nyawa",NonClickbait
"Info BMKG Minggu, 14 Februari 2021: Gelombang Tinggi di Samudra Hindia Selatan Jawa Capai 4 Meter",NonClickbait
MUI: Menyebarkan Konten dengan Pose Mempertontonkan Aurat dan Aktivitas Buzzer Hukumnya Haram,NonClickbait
"Propaganda Aisha Weddings Meresahkan, Tak Pantas Dilakukan Saat Bangsa Berjuang di Tengah Pandemi",NonClickbait
"Kakorlantas Polri Pastikan Arus Libur Imlek di Kawasan Puncak Lancar, Aman dari Covid-19",NonClickbait
"Terungkap, Beberapa Jam Sebelum Mayatnya Ditemukan, Rohmansah Digerebek Tengah Bersama Istri Orang",Clickbait
Komplotan Perampok Sekap ART Lalu Bawa Kabur Harta Pengusaha Senilai Rp 500 Juta,NonClickbait
"Membanggakan, 447 Putra Papua Resmi Jadi Prajurit TNI AD Kodam XVII Cenderawasih",Clickbait
"Pemerintah Pasang Badan, Siap Tanggung Jawab Hukum Jika Terjadi KIPI Usai Vaksinasi",NonClickbait
"Penghuni Kos Cium Bau Busuk, Bu Guru Rostika Ester Ditemukan Sudah 4 Hari Meninggal Dunia",NonClickbait
"Duh, Maguire Nyaris Bikin MU Kalah",Clickbait
Babak Baru Kasus Mafia Tanah: Dino Patti Djalal Dipolisikan Fredy Kusnadi,NonClickbait
Aktris Ini Diancam Dibunuh Usai Ngaku Tak Lagi Beragama Islam,Clickbait
"Salip Milan Jelang Derby, Momen Penentuan Inter?",Clickbait
MU Tak Akan Biarkan City Berlari Sendirian,NonClickbait
Perlawanan Dino Patti Djalal Saat Balik Dipolisikan,NonClickbait
Asa Bisa Mengajar Lagi Guru Honorer yang Dipecat karena Unggah Gaji,NonClickbait
"BCl Pilih Ashraf Selingkuh daripada Meninggal, Alasannya Bikin Baper",Clickbait
"KPI Disentil, Komisi I Nilai Talkshow Lebih Aman dari Sinetron soal Prokes",NonClickbait
12 Nama Bayi Paling Dilarang di Berbagai Dunia,Clickbait
Bikin Ngakak! 4 Kejadian Apes saat Tuangkan Saus dan Kecap ke dalam Makanan,Clickbait
"Hamil Mendadak Tanpa Berhubungan Seks Tak Mungkin Terjadi, Ini Alasannya",Clickbait
Meghan Markle Umumkan Hamil Anak Ke-2 di Hari Valentine,NonClickbait
Umat Muslim Bisa Lakukan Hal Ini Saat Terlanjur Makan Daging Babi,Clickbait
Toyota Raize dan Daihatsu Rocky Versi Indonesia Bakal Dapat 2 Pilihan Mesin,NonClickbait
"Selebgram Ini Akan Menjual Sel Telurnya Rp 700 Juta, Sebut Punya Gen Baik",Clickbait
Ingat Kakek yang Lalai Jaga Cucu di Kapal Pesiar? Ini Keputusan Pengadilan,Clickbait
Penciuman Hilang Gara-gara Anosmia COVID-19? 5 Makanan Ini Bantu Meredakan,Clickbait
Ini 7 Perusahaan Pembuat Mobil Terbesar di Dunia,Clickbait
"Ebola Jadi Epidemi Lagi, Kini Ada 7 Kasus dan 3 Kematian di Guinea",NonClickbait
"Wow, Kakek 3 Cucu Mendayung Seberangi Laut Atlantik untuk Galang Dana Amal",Clickbait
7 Cara Alami Ini Bikin Rambut Cepat Tumbuh,Clickbait
"Anak Bunuh Ibunya gara-gara Harta Karun, Korban Didorong ke Lubang Galian hingga Tewas",Clickbait
"Sinopsis Film The Shape of Water, Manusia dan Monster yang Saling Mencintai",NonClickbait
Hilangkan Bau pada Karpet dengan Bahan Alami Ini,Clickbait
"Penyintas Covid-19 Bisa Divaksinasi, Ini Syaratnya",Clickbait
"BMKG Peringatan Dini Cuaca Hari Ini, Senin 15 Februari 2021: Waspada Cuaca Ekstrem di Wilayah Ini",NonClickbait
"25 Kelurahan di Jakarta dengan Kasus Aktif Covid-19 Tertinggi, Sunter Agung Teratas, Ini Daftarnya",Clickbait
"Info BMKG Senin, 15 Februari 2021: Gelombang Tinggi di Perairan Selatan Jawa hingga Sumba Capai 4 M",NonClickbait
"Ramai Video Bongkar Chip e-KTP, Roy Suryo: Belum Bisa untuk Lacak Lokasi Pemilik",Clickbait
"Seorang Wanita Hamil Tua Terjaring Razia Polisi Sedang Jajakan Diri di Tasikmalaya, Ini Pengakuannya",Clickbait
"Viral Buah Nanas Berbentuk Unik dan Berukuran Jumbo di Muarojambi, Ini Penjelasan Pemiliknya",Clickbait
"Vaksin Pfizer Tiba di Jepang, Hari Ini Mulai Didistribusikan ke Seluruh Wilayah",NonClickbait
"Peringatan Dini BMKG Senin 15 Februari 2021, Waspada Cuaca Ekstrem di Sejumlah Wilayah",NonClickbait
"Pria di Malang Bunuh dan Kubur Ibu Kandung Dengan Posisi Jasad Terbalik, Pelaku Awalnya Temui Dukun",NonClickbait
"Misteri Mayat di Lubang Terungkap, Korban Dikubur Anaknya Posisi Terbalik, Berawal dari Pesan Dukun",NonClickbait
"Tengkorak Manusia Ditemukan Pencari Rumput di Pekalongan, Diduga Darmun yang Hilang Oktober 2020",NonClickbait
"Kronologi Mobil Avanza Tersesat ke Dalam Hutan Gunung Putri Majalengka, Tersadar Setelah Ban Kempes",NonClickbait
"Kronologi Pria di Surabaya Bakar Orang Hingga Ancam Lakukan Bunuh Diri, Ini Pengakuan Pelaku",Clickbait
Detik-detik Mobil Avanza Berpenumpang 7 Orang Tersesat Sejauh 5 Kilometer di Hutan Gunung Putri,NonClickbait
Cerita di Balik Mobil Avanza Tersesat di Hutan Gunung Putri Majalengka Pada Jumat Malam,NonClickbait
Pawang Ular Asal Kuningan Ini Lepasliarkan Puluhan Ekor Anak King Kobra di Hutan,Clickbait
"Jokowi Bicara Revisi, Mahfud Cerita Banyak yang Semangat Usul UU ITE di 2007",NonClickbait
Wow! Hobi Ngasih Hadiah Ternyata Bermanfaat bagi Kesehatan Tubuh,Clickbait
"PPnBM Nol Persen Belum Berlaku, Segini Penjualan Mobil Awal Tahun 2021",Clickbait
"Ada Salju di Arab, Langka Banget!",Clickbait
"10 Potret Polwan Lalu Lintas Cantik yang Jadi Viral, Kini Jadi Selebgram",Clickbait
"Efek Pandemi Corona ke Wisata, Pemulihan Bakal Lebih Lama",NonClickbait
Keren Tapi Bikin Ngakak! Tantangan Foto Mereplikasi Lukisan Ternama,Clickbait
Wisatawan Mulai Padati Objek Wisata China di Momen Libur Imlek,NonClickbait
Kompaknya Ashanty bersama Keluarga saat Kulineran,NonClickbait
"Link Live Streaming Chelsea Vs Newcastle United, Kickoff 03.00 WIB",NonClickbait
"Angin Segar Buat Liverpool, Tiga Pemain Balik untuk Laga Lawan RB Leipzig",NonClickbait
"Kalau Benar-benar Pergi dari Real Madrid, Sergio Ramos Lakukan Hal Memalukan",NonClickbait
Duterte Inginkan Lebih Banyak Bantuan Militer AS,NonClickbait
"Link Live Streaming Bayern Muenchen Vs Arminia, Kickoff 02.30 WIB",NonClickbait
"Spesial Ultah Valentino Rossi, Ini 5 Musuh Besar dalam Kariernya",Clickbait
"Selain Longsor, Bupati Sebut Banjir Landa Sejumlah Wilayah di Nganjuk",NonClickbait
"Bahas Rumor Mohamed Salah, Ian Rush Singgung Kekalahan Man United",NonClickbait
Terdakwa Pembunuh Satu Keluarga di Baki Sukoharjo Divonis Hukuman Mati,NonClickbait
"Punya Masalah yang Lebih Kritis, Arsenal Malah Pilih Buang-buang Duit",NonClickbait
"Masuk Kategori Lanjut Usia, Bupati Magetan Suprawoto Terima Vaksin Covid-19",NonClickbait
"Bawakan Lagu Bila Aku Jatuh Cinta, Fitri Novianti Dapat Kejutan dari Ubay Nidji",NonClickbait
Indeks Nikkei Tembus Level Tertinggi dalam Tiga Dekade,NonClickbait
"Sempat Diragukan Tampil, Pemain PSG Ini Ternyata Masuk Skuad Lawan Barcelona",Clickbait
"BPBD Nganjuk: Sebelum Longsor, Ada Retakan di Dinding Tebing Bagian Selatan",NonClickbait
"Tinggalkan Moenchengladbach Akhir Musim, Marco Rose Latih Dortmund",NonClickbait
5 Ide Bisnis Dengan Omset Keuntungan Tinggi Tapi Modal Rendah,Clickbait
Legenda Arsenal Sebut Fans Man United Khawatirkan Performa Tim Asuhan Solskjaer,NonClickbait
"Dilaporkan ke Polda Jateng Soal ""Pak Ganjar Tidak Pernah Bersyukur"", Penerbit: Kami Sudah Klarifikasi",NonClickbait
Presiden Jokowi Minta DPR Revisi UU ITE Bila Tidak Bisa Berikan Rasa Keadilan,NonClickbait
"JK: Kalau Bertanya Saja Tidak Boleh, Apalagi Mengkritik",NonClickbait
"Baku Tembak dengan KKB, Satu Prajurit TNI Tewas",NonClickbait
Hary Tanoe Bangun 'Hollywood' di Lido,NonClickbait
"Ngakak! Begini 'Kasta' Bocah Dilihat dari Bekal Makanannya Saat Berenang",Clickbait
"Uya Kuya Sempat Tak Sadarkan Diri Saat Positif Covid-19, Berjuang Hidup dan Mati",NonClickbait
"Mendebarkan, Ini Video Pasukan TNI-Polri Baku Tembak dengan KKB Papua",Clickbait
5 Penyakit yang Mungkin Kamu Derita Ketika Mengalami Sakit Punggung,Clickbait
"Kisah Putri Raja Solo Terkurung di Keraton, Bertahan Hidup Makan Daun Singkong",NonClickbait
"Mengingat Kritisnya Fadjroel Rachman di Era Presiden SBY, Kritiknya Keras & Pedas",NonClickbait
"7 Potret Rumah Tukul Arwana di Bali, Besar dan Luas",Clickbait
10 Pasangan Selebriti ini Miliki Kisah Cinta Bak Film Drama Romantis,Clickbait
"Surati Jaksa, Kuasa Hukum Rizieq Shihab Minta Sidang Kliennya Digabung Bareng 6 Tersangka Lainnya",NonClickbait
Presiden Jokowi Minta TNI dan Polri Bantu Vaksinasi Massal di Klaster Pasar dan Zona Merah,NonClickbait
Angkasa Pura I dan Sarinah Hadirkan Galeri UMKM di Bandara Syamsudin Noor,NonClickbait
Jokowi Minta TNI-Polri Dukung Iklim Usaha dengan Beri Kepastian Hukum,NonClickbait
Fantastis! TKW Indonesia Ini Jadi Miliarder Dadakan Usai Dapat Warisan dari Aktor Chen Sung Young,Clickbait
Ngakak! Begini Tampilan 10 Makanan Tak Sesuai Ekspektasi yang Dibeli via Ojol,Clickbait
Jokowi: Belakangan Ini Saya Lihat Makin Banyak Masyarakat Saling Lapor,NonClickbait
Doni Monardo: Terjadi Penurunan 15 Ribu Kasus Aktif Covid-19 Dalam Kurun Waktu Sepekan,NonClickbait
Kemendikbud Bakal Berikan Dana FBK untuk Daerah 3T Hingga Penyandang Disabilitas,NonClickbait
Jokowi: Kalau UU ITE Tidak Beri Rasa Keadilan Saya Minta DPR Revisi,NonClickbait
Jokowi Minta Polri Selektif Terima Aduan Pelanggaran UU ITE,NonClickbait
Peran Tersangka Baru Korupsi Asabri Jimmy Sutopo: Atur Jual Beli Saham Bersama Benny Tjokrosaputro,NonClickbait
"BREAKING NEWS: Kejagung Tetapkan Tersangka Baru Kasus Korupsi Asabri, Pihak Swasta Jimmy Sutopo",NonClickbait
"Wow, Indonesia Bakal Bangun Bandar Antariksa, BRIN Beberkan Anggarannya",Clickbait
"Pengakuan Langsung Sopir Avanza yang Tersesat di Hutan Gunung Putri Majalengka, Ungkap Suasana Horor",NonClickbait
JK: Din Syamsuddin Bukan Tokoh Radikal,NonClickbait
Geger! Belasan Kerbau Mati Misterius di Sekitar Proyek Pembangunan Sirkuit Mandalika,Clickbait
"VIRAL Penjual Siomay Pakai Moge Ducati Diavel Senilai Ratusan Juta saat Berdagang, Begini Faktanya",Clickbait
"Seorang Pria Dianiaya Pemilik Warung hingga Luka Serius, Pelaku Cemburu Korban Goda Istrinya",NonClickbait
"Ada yang Ketuk Pintu Rumah, IRT Ini Kaget yang Datang Pencuri, Korban juga DIrudapaksa Pelaku",Clickbait
"Ancam Pakai Parang, Pria Ini Gasak Barang Berharga dan Berbuat Asusila Terhadap Korbannya",Clickbait
"Praktik Aborsi di Padang, Ratusan Pil Diamankan, 2 Pasangan Tidak Sah Gugurkan Kandungan",NonClickbait
"VIRAL Pria asal Solo Ini Beli Sepeda Motor Bebek Yamaha 125Z Seharga Rp 125 Juta, Begini Ceritanya",Clickbait
"Seorang Pria Ditemukan Tewas Penuh Luka di Sawah, Sempat Didatangi Sekelompok Pemuda saat Makan",NonClickbait
"Remaja 18 Tahun Dibacok di Warnet, Awalnya Disuruh Beli Kopi Lalu Diserang secara Brutal",NonClickbait
"Wow! 64,8 Juta Orang Pinjam Uang Lewat Pinjol, Ini Alasannya",Clickbait
"Aksi Heroik Polisi Sragen, Gendong Ibu Hamil yang Jatuh dari Motor saat Lewati Jalan Berlubang",NonClickbait
"Pelajar Ditemukan Tewas di Pesisir Laut Muara Gembong Bekasi, Kondisinya Sudah Membusuk",NonClickbait
Menaker Ida Jelaskan Urgensi K3 untuk Tingkatkan Produktivitas Kerja,NonClickbait
"Alot, Jadi Kapan Stimulus Jumbo Amerika Serikat Usulan Joe Biden Diteken?",Clickbait
MK Lanjutkan Perkara Sengketa Pilkada Kalsel ke Acara Pembuktian,NonClickbait
"Tepis Isu Abaikan Jasa Pendiri Partai, AHY Bertemu Mantan Ketum Demokrat Subur Budhisantoso",NonClickbait
Menparekraf Sandiaga Dorong Produk Ekonomi Kreatif Perawatan Tubuh,NonClickbait
"Apa Itu SNMPTN? Jalur Seleksi Penerimaan Mahasiswa, Berikut Syarat hingga Cara Daftarnya",Clickbait
"Guardiola ke Klopp: Kalah Sesekali Itu Perlu, Biar Enggak Bosan",NonClickbait
Barcelona Vs PSG: Bos Les Parisiens Diteriaki Maling,NonClickbait
"Positivity Rate COVID-19 Naik Jadi 18,4%, Ini Penjelasan Satgas",Clickbait
Wamenkum HAM Nilai Edhy Prabowo-Juliari Batubara Layak Dituntut Pidana Mati,NonClickbait
Polisi Tetapkan 1 Tersangka Kasus Kerumunan Barongsai di Jakut,NonClickbait
"Dosa Apa Donny van de Beek, Kai Havertz, dan Thiago?",Clickbait
Wagub DKI soal Kerumunan Barongsai: Jika Terbukti Salah Panitia Akan Disanksi,NonClickbait
Mimpi Juventus Rekrut Zidane,NonClickbait
Pulisic Lagi Gak Asyik di Chelsea,Clickbait
"Donnarumma Belum Deal Kontrak Baru di AC Milan, Dua Hal Ini Penyebabnya",Clickbait
"Wow, Alat Musik Tradisional Indonesia Ini Telah Mendunia",Clickbait
"Cantiknya Bella Lee, Pacar Roy Kiyoshi yang Doyan Makanan Jepang",NonClickbait
Rupa Kota Terapung dengan Rumah Seharga Belasan Triliun,NonClickbait
10 Transformasi Makeup Viral yang Buktikan Wanita Asia Jago Glow Up,Clickbait
"Catat, Ini Lama Waktu Virus Corona Bertahan di Berbagai Permukaan Benda",Clickbait
